name,time,index,rank,value,lastValue,age
Jaws 2 (1978),1979-06-01,1,1,38575846.3600615,0,1
Every Which Way But Loose (1978),1979-06-01,1,2,38448939.2564359,0,1
Grease (1978),1979-06-01,1,3,34961838.3402462,0,1
King Kong  (1976),1979-06-01,1,4,30567045.7929452,0,1
The Deep (1977),1979-06-01,1,5,28714691.2383471,0,1
Exorcist II: The Heretic (1977),1979-06-01,1,6,28292343.4710744,0,1
Jaws (1975),1979-06-01,1,7,28111694.2446043,0,1
Star Wars (1977),1979-06-01,1,8,27768426.689374,0,1
Moonraker (1979),1979-06-01,1,9,25021764.694072,0,1
Superman (1978),1979-06-01,1,10,24463275.8767599,0,1
Rocky II (1979),1979-06-01,1,11,22495044.2863712,0,1
Alien (1979),1979-06-01,1,12,18701860.7459834,0,1
Star Trek: The Motion Picture (1979),1979-12-01,2,1,39415813.32,0,1
Jaws 2 (1978),1979-12-01,2,2,38575846.3600615,38575846.3600615,0.9
Every Which Way But Loose (1978),1979-12-01,2,3,38448939.2564359,38448939.2564359,0.9
Grease (1978),1979-12-01,2,4,34961838.3402462,34961838.3402462,0.9
King Kong  (1976),1979-12-01,2,5,30567045.7929452,30567045.7929452,0.9
The Deep (1977),1979-12-01,2,6,28714691.2383471,28714691.2383471,0.9
Exorcist II: The Heretic (1977),1979-12-01,2,7,28292343.4710744,28292343.4710744,0.9
Jaws (1975),1979-12-01,2,8,28111694.2446043,28111694.2446043,0.9
Star Wars (1977),1979-12-01,2,9,27768426.689374,27768426.689374,0.9
The Amityville Horror (1979),1979-12-01,2,10,25921995.4631469,0,1
Moonraker (1979),1979-12-01,2,11,25021764.694072,25021764.694072,0.9
Superman (1978),1979-12-01,2,12,24463275.8767599,24463275.8767599,0.9
Star Trek: The Motion Picture (1979),1980-06-01,3,1,39415813.32,39415813.32,0.9
Jaws 2 (1978),1980-06-01,3,2,38575846.3600615,38575846.3600615,0.8
Every Which Way But Loose (1978),1980-06-01,3,3,38448939.2564359,38448939.2564359,0.8
Grease (1978),1980-06-01,3,4,34961838.3402462,34961838.3402462,0.8
The Empire Strikes Back (1980),1980-06-01,3,5,33394452.6477091,0,1
King Kong  (1976),1980-06-01,3,6,30567045.7929452,30567045.7929452,0.8
The Deep (1977),1980-06-01,3,7,28714691.2383471,28714691.2383471,0.8
Exorcist II: The Heretic (1977),1980-06-01,3,8,28292343.4710744,28292343.4710744,0.8
Jaws (1975),1980-06-01,3,9,28111694.2446043,28111694.2446043,0.8
Star Wars (1977),1980-06-01,3,10,27768426.689374,27768426.689374,0.8
The Amityville Horror (1979),1980-06-01,3,11,25921995.4631469,25921995.4631469,0.9
Moonraker (1979),1980-06-01,3,12,25021764.694072,25021764.694072,0.8
Star Trek: The Motion Picture (1979),1980-12-01,4,1,39415813.32,39415813.32,0.8
Jaws 2 (1978),1980-12-01,4,2,38575846.3600615,38575846.3600615,0.7
Every Which Way But Loose (1978),1980-12-01,4,3,38448939.2564359,38448939.2564359,0.7
Grease (1978),1980-12-01,4,4,34961838.3402462,34961838.3402462,0.7
The Empire Strikes Back (1980),1980-12-01,4,5,33394452.6477091,33394452.6477091,0.9
Smokey and the Bandit II (1980),1980-12-01,4,6,32015102.98125,0,1
King Kong  (1976),1980-12-01,4,7,30567045.7929452,30567045.7929452,0.7
The Deep (1977),1980-12-01,4,8,28714691.2383471,28714691.2383471,0.7
Exorcist II: The Heretic (1977),1980-12-01,4,9,28292343.4710744,28292343.4710744,0.7
Jaws (1975),1980-12-01,4,10,28111694.2446043,28111694.2446043,0.7
Star Wars (1977),1980-12-01,4,11,27768426.689374,27768426.689374,0.7
The Amityville Horror (1979),1980-12-01,4,12,25921995.4631469,25921995.4631469,0.8
Superman II (1981),1981-06-01,5,1,39598007.9492155,0,1
Star Trek: The Motion Picture (1979),1981-06-01,5,2,39415813.32,39415813.32,0.7
Jaws 2 (1978),1981-06-01,5,3,38575846.3600615,38575846.3600615,0.6
Every Which Way But Loose (1978),1981-06-01,5,4,38448939.2564359,38448939.2564359,0.6
Grease (1978),1981-06-01,5,5,34961838.3402462,34961838.3402462,0.6
The Empire Strikes Back (1980),1981-06-01,5,6,33394452.6477091,33394452.6477091,0.8
The Cannonball Run (1981),1981-06-01,5,7,33041076.6054365,0,1
Smokey and the Bandit II (1980),1981-06-01,5,8,32015102.98125,32015102.98125,0.9
King Kong  (1976),1981-06-01,5,9,30567045.7929452,30567045.7929452,0.6
The Deep (1977),1981-06-01,5,10,28714691.2383471,28714691.2383471,0.6
Exorcist II: The Heretic (1977),1981-06-01,5,11,28292343.4710744,28292343.4710744,0.6
Jaws (1975),1981-06-01,5,12,28111694.2446043,28111694.2446043,0.6
Superman II (1981),1981-12-01,6,1,39598007.9492155,39598007.9492155,0.9
Star Trek: The Motion Picture (1979),1981-12-01,6,2,39415813.32,39415813.32,0.6
Jaws 2 (1978),1981-12-01,6,3,38575846.3600615,38575846.3600615,0.5
Every Which Way But Loose (1978),1981-12-01,6,4,38448939.2564359,38448939.2564359,0.5
Grease (1978),1981-12-01,6,5,34961838.3402462,34961838.3402462,0.5
The Empire Strikes Back (1980),1981-12-01,6,6,33394452.6477091,33394452.6477091,0.7
The Cannonball Run (1981),1981-12-01,6,7,33041076.6054365,33041076.6054365,0.9
Smokey and the Bandit II (1980),1981-12-01,6,8,32015102.98125,32015102.98125,0.8
King Kong  (1976),1981-12-01,6,9,30567045.7929452,30567045.7929452,0.5
The Deep (1977),1981-12-01,6,10,28714691.2383471,28714691.2383471,0.5
Exorcist II: The Heretic (1977),1981-12-01,6,11,28292343.4710744,28292343.4710744,0.5
Jaws (1975),1981-12-01,6,12,28111694.2446043,28111694.2446043,0.5
Superman II (1981),1982-06-01,7,1,39598007.9492155,39598007.9492155,0.8
Star Trek: The Motion Picture (1979),1982-06-01,7,2,39415813.32,39415813.32,0.5
Jaws 2 (1978),1982-06-01,7,3,38575846.3600615,38575846.3600615,0.4
Every Which Way But Loose (1978),1982-06-01,7,4,38448939.2564359,38448939.2564359,0.4
Star Trek II: The Wrath of Khan (1982),1982-06-01,7,5,37590902.2959588,0,1
Grease (1978),1982-06-01,7,6,34961838.3402462,34961838.3402462,0.4
The Empire Strikes Back (1980),1982-06-01,7,7,33394452.6477091,33394452.6477091,0.6
The Cannonball Run (1981),1982-06-01,7,8,33041076.6054365,33041076.6054365,0.8
Rocky III (1982),1982-06-01,7,9,32571518.5971959,0,1
Smokey and the Bandit II (1980),1982-06-01,7,10,32015102.98125,32015102.98125,0.7
E.T.: The Extra-Terrestrial (1982),1982-06-01,7,11,31009695.2945567,0,1
King Kong  (1976),1982-06-01,7,12,30567045.7929452,30567045.7929452,0.4
Superman II (1981),1982-12-01,8,1,39598007.9492155,39598007.9492155,0.7
Star Trek: The Motion Picture (1979),1982-12-01,8,2,39415813.32,39415813.32,0.4
Jaws 2 (1978),1982-12-01,8,3,38575846.3600615,38575846.3600615,0.3
Every Which Way But Loose (1978),1982-12-01,8,4,38448939.2564359,38448939.2564359,0.3
Star Trek II: The Wrath of Khan (1982),1982-12-01,8,5,37590902.2959588,37590902.2959588,0.9
Grease (1978),1982-12-01,8,6,34961838.3402462,34961838.3402462,0.3
The Empire Strikes Back (1980),1982-12-01,8,7,33394452.6477091,33394452.6477091,0.5
The Cannonball Run (1981),1982-12-01,8,8,33041076.6054365,33041076.6054365,0.7
Rocky III (1982),1982-12-01,8,9,32571518.5971959,32571518.5971959,0.9
Smokey and the Bandit II (1980),1982-12-01,8,10,32015102.98125,32015102.98125,0.6
E.T.: The Extra-Terrestrial (1982),1982-12-01,8,11,31009695.2945567,31009695.2945567,0.9
The Best Little Whorehouse in Texas (1982),1982-12-01,8,12,30888653.6710747,0,1
Return of the Jedi (1983),1983-06-01,9,1,58857041.0006439,0,1
Superman II (1981),1983-06-01,9,2,39598007.9492155,39598007.9492155,0.6
Star Trek: The Motion Picture (1979),1983-06-01,9,3,39415813.32,39415813.32,0.3
Jaws 2 (1978),1983-06-01,9,4,38575846.3600615,38575846.3600615,0.2
Every Which Way But Loose (1978),1983-06-01,9,5,38448939.2564359,38448939.2564359,0.2
Star Trek II: The Wrath of Khan (1982),1983-06-01,9,6,37590902.2959588,37590902.2959588,0.8
Grease (1978),1983-06-01,9,7,34961838.3402462,34961838.3402462,0.2
Superman III (1983),1983-06-01,9,8,34139585.7830583,0,1
The Empire Strikes Back (1980),1983-06-01,9,9,33394452.6477091,33394452.6477091,0.4
The Cannonball Run (1981),1983-06-01,9,10,33041076.6054365,33041076.6054365,0.6
Rocky III (1982),1983-06-01,9,11,32571518.5971959,32571518.5971959,0.8
Smokey and the Bandit II (1980),1983-06-01,9,12,32015102.98125,32015102.98125,0.5
Return of the Jedi (1983),1983-12-01,10,1,58857041.0006439,58857041.0006439,0.9
Superman II (1981),1983-12-01,10,2,39598007.9492155,39598007.9492155,0.5
Star Trek: The Motion Picture (1979),1983-12-01,10,3,39415813.32,39415813.32,0.2
Jaws 2 (1978),1983-12-01,10,4,38575846.3600615,38575846.3600615,0.1
Every Which Way But Loose (1978),1983-12-01,10,5,38448939.2564359,38448939.2564359,0.1
Star Trek II: The Wrath of Khan (1982),1983-12-01,10,6,37590902.2959588,37590902.2959588,0.7
Grease (1978),1983-12-01,10,7,34961838.3402462,34961838.3402462,0.1
Superman III (1983),1983-12-01,10,8,34139585.7830583,34139585.7830583,0.9
Jaws 3-D (1983),1983-12-01,10,9,33642026.9230769,0,1
The Empire Strikes Back (1980),1983-12-01,10,10,33394452.6477091,33394452.6477091,0.3
The Cannonball Run (1981),1983-12-01,10,11,33041076.6054365,33041076.6054365,0.5
Rocky III (1982),1983-12-01,10,12,32571518.5971959,32571518.5971959,0.7
Indiana Jones and the Temple of Doom (1984),1984-06-01,11,1,62096198.9612343,0,1
Return of the Jedi (1983),1984-06-01,11,2,58857041.0006439,58857041.0006439,0.8
Star Trek III: The Search for Spock (1984),1984-06-01,11,3,40862917.8173578,0,1
Superman II (1981),1984-06-01,11,4,39598007.9492155,39598007.9492155,0.4
Star Trek: The Motion Picture (1979),1984-06-01,11,5,39415813.32,39415813.32,0.1
Jaws 2 (1978),1984-06-01,11,6,38575846.3600615,38575846.3600615,0
Every Which Way But Loose (1978),1984-06-01,11,7,38448939.2564359,38448939.2564359,0
Star Trek II: The Wrath of Khan (1982),1984-06-01,11,8,37590902.2959588,37590902.2959588,0.6
Grease (1978),1984-06-01,11,9,34961838.3402462,34961838.3402462,0
Superman III (1983),1984-06-01,11,10,34139585.7830583,34139585.7830583,0.8
Jaws 3-D (1983),1984-06-01,11,11,33642026.9230769,33642026.9230769,0.9
The Empire Strikes Back (1980),1984-06-01,11,12,33394452.6477091,33394452.6477091,0.2
Indiana Jones and the Temple of Doom (1984),1984-12-01,12,1,62096198.9612343,62096198.9612343,0.9
Return of the Jedi (1983),1984-12-01,12,2,58857041.0006439,58857041.0006439,0.7
Star Trek III: The Search for Spock (1984),1984-12-01,12,3,40862917.8173578,40862917.8173578,0.9
Superman II (1981),1984-12-01,12,4,39598007.9492155,39598007.9492155,0.3
Star Trek: The Motion Picture (1979),1984-12-01,12,5,39415813.32,39415813.32,0
Jaws 2 (1978),1984-12-01,12,6,38575846.3600615,38575846.3600615,0
Every Which Way But Loose (1978),1984-12-01,12,7,38448939.2564359,38448939.2564359,0
Star Trek II: The Wrath of Khan (1982),1984-12-01,12,8,37590902.2959588,37590902.2959588,0.5
Beverly Hills Cop (1984),1984-12-01,12,9,36652248.9207583,0,1
Grease (1978),1984-12-01,12,10,34961838.3402462,34961838.3402462,0
Superman III (1983),1984-12-01,12,11,34139585.7830583,34139585.7830583,0.7
Jaws 3-D (1983),1984-12-01,12,12,33642026.9230769,33642026.9230769,0.8
Indiana Jones and the Temple of Doom (1984),1985-06-01,13,1,62096198.9612343,62096198.9612343,0.8
Return of the Jedi (1983),1985-06-01,13,2,58857041.0006439,58857041.0006439,0.6
Rambo: First Blood Part II (1985),1985-06-01,13,3,47699955.3313116,0,1
Star Trek III: The Search for Spock (1984),1985-06-01,13,4,40862917.8173578,40862917.8173578,0.8
Superman II (1981),1985-06-01,13,5,39598007.9492155,39598007.9492155,0.2
Star Trek: The Motion Picture (1979),1985-06-01,13,6,39415813.32,39415813.32,0
Jaws 2 (1978),1985-06-01,13,7,38575846.3600615,38575846.3600615,0
Every Which Way But Loose (1978),1985-06-01,13,8,38448939.2564359,38448939.2564359,0
Star Trek II: The Wrath of Khan (1982),1985-06-01,13,9,37590902.2959588,37590902.2959588,0.4
Beverly Hills Cop (1984),1985-06-01,13,10,36652248.9207583,36652248.9207583,0.9
Grease (1978),1985-06-01,13,11,34961838.3402462,34961838.3402462,0
Superman III (1983),1985-06-01,13,12,34139585.7830583,34139585.7830583,0.6
Indiana Jones and the Temple of Doom (1984),1985-12-01,14,1,62096198.9612343,62096198.9612343,0.7
Return of the Jedi (1983),1985-12-01,14,2,58857041.0006439,58857041.0006439,0.5
Rambo: First Blood Part II (1985),1985-12-01,14,3,47699955.3313116,47699955.3313116,0.9
Rocky IV (1985),1985-12-01,14,4,46400083.5203288,0,1
Star Trek III: The Search for Spock (1984),1985-12-01,14,5,40862917.8173578,40862917.8173578,0.7
Superman II (1981),1985-12-01,14,6,39598007.9492155,39598007.9492155,0.1
Star Trek: The Motion Picture (1979),1985-12-01,14,7,39415813.32,39415813.32,0
Jaws 2 (1978),1985-12-01,14,8,38575846.3600615,38575846.3600615,0
Every Which Way But Loose (1978),1985-12-01,14,9,38448939.2564359,38448939.2564359,0
Star Trek II: The Wrath of Khan (1982),1985-12-01,14,10,37590902.2959588,37590902.2959588,0.3
Beverly Hills Cop (1984),1985-12-01,14,11,36652248.9207583,36652248.9207583,0.8
Grease (1978),1985-12-01,14,12,34961838.3402462,34961838.3402462,0
Indiana Jones and the Temple of Doom (1984),1986-06-01,15,1,62096198.9612343,62096198.9612343,0.6
Return of the Jedi (1983),1986-06-01,15,2,58857041.0006439,58857041.0006439,0.4
Rambo: First Blood Part II (1985),1986-06-01,15,3,47699955.3313116,47699955.3313116,0.8
Rocky IV (1985),1986-06-01,15,4,46400083.5203288,46400083.5203288,0.9
Star Trek III: The Search for Spock (1984),1986-06-01,15,5,40862917.8173578,40862917.8173578,0.6
Superman II (1981),1986-06-01,15,6,39598007.9492155,39598007.9492155,0
Star Trek: The Motion Picture (1979),1986-06-01,15,7,39415813.32,39415813.32,0
Jaws 2 (1978),1986-06-01,15,8,38575846.3600615,38575846.3600615,0
Every Which Way But Loose (1978),1986-06-01,15,9,38448939.2564359,38448939.2564359,0
Star Trek II: The Wrath of Khan (1982),1986-06-01,15,10,37590902.2959588,37590902.2959588,0.2
Beverly Hills Cop (1984),1986-06-01,15,11,36652248.9207583,36652248.9207583,0.7
Grease (1978),1986-06-01,15,12,34961838.3402462,34961838.3402462,0
Indiana Jones and the Temple of Doom (1984),1986-12-01,16,1,62096198.9612343,62096198.9612343,0.5
Return of the Jedi (1983),1986-12-01,16,2,58857041.0006439,58857041.0006439,0.3
Rambo: First Blood Part II (1985),1986-12-01,16,3,47699955.3313116,47699955.3313116,0.7
Rocky IV (1985),1986-12-01,16,4,46400083.5203288,46400083.5203288,0.8
Star Trek III: The Search for Spock (1984),1986-12-01,16,5,40862917.8173578,40862917.8173578,0.5
Superman II (1981),1986-12-01,16,6,39598007.9492155,39598007.9492155,0
Star Trek: The Motion Picture (1979),1986-12-01,16,7,39415813.32,39415813.32,0
Star Trek IV: The Voyage Home (1986),1986-12-01,16,8,38722906.7818051,0,1
Jaws 2 (1978),1986-12-01,16,9,38575846.3600615,38575846.3600615,0
Every Which Way But Loose (1978),1986-12-01,16,10,38448939.2564359,38448939.2564359,0
Star Trek II: The Wrath of Khan (1982),1986-12-01,16,11,37590902.2959588,37590902.2959588,0.1
Beverly Hills Cop (1984),1986-12-01,16,12,36652248.9207583,36652248.9207583,0.6
Indiana Jones and the Temple of Doom (1984),1987-06-01,17,1,62096198.9612343,62096198.9612343,0.4
Beverly Hills Cop II (1987),1987-06-01,17,2,58999405.7809692,0,1
Return of the Jedi (1983),1987-06-01,17,3,58857041.0006439,58857041.0006439,0.2
Rambo: First Blood Part II (1985),1987-06-01,17,4,47699955.3313116,47699955.3313116,0.6
Rocky IV (1985),1987-06-01,17,5,46400083.5203288,46400083.5203288,0.7
Star Trek III: The Search for Spock (1984),1987-06-01,17,6,40862917.8173578,40862917.8173578,0.4
Superman II (1981),1987-06-01,17,7,39598007.9492155,39598007.9492155,0
Star Trek: The Motion Picture (1979),1987-06-01,17,8,39415813.32,39415813.32,0
Star Trek IV: The Voyage Home (1986),1987-06-01,17,9,38722906.7818051,38722906.7818051,0.9
Jaws 2 (1978),1987-06-01,17,10,38575846.3600615,38575846.3600615,0
Every Which Way But Loose (1978),1987-06-01,17,11,38448939.2564359,38448939.2564359,0
Star Trek II: The Wrath of Khan (1982),1987-06-01,17,12,37590902.2959588,37590902.2959588,0
Indiana Jones and the Temple of Doom (1984),1987-12-01,18,1,62096198.9612343,62096198.9612343,0.3
Beverly Hills Cop II (1987),1987-12-01,18,2,58999405.7809692,58999405.7809692,0.9
Return of the Jedi (1983),1987-12-01,18,3,58857041.0006439,58857041.0006439,0.1
Rambo: First Blood Part II (1985),1987-12-01,18,4,47699955.3313116,47699955.3313116,0.5
Rocky IV (1985),1987-12-01,18,5,46400083.5203288,46400083.5203288,0.6
Star Trek III: The Search for Spock (1984),1987-12-01,18,6,40862917.8173578,40862917.8173578,0.3
Superman II (1981),1987-12-01,18,7,39598007.9492155,39598007.9492155,0
Star Trek: The Motion Picture (1979),1987-12-01,18,8,39415813.32,39415813.32,0
Star Trek IV: The Voyage Home (1986),1987-12-01,18,9,38722906.7818051,38722906.7818051,0.8
Jaws 2 (1978),1987-12-01,18,10,38575846.3600615,38575846.3600615,0
Every Which Way But Loose (1978),1987-12-01,18,11,38448939.2564359,38448939.2564359,0
Star Trek II: The Wrath of Khan (1982),1987-12-01,18,12,37590902.2959588,37590902.2959588,0
Indiana Jones and the Temple of Doom (1984),1988-06-01,19,1,62096198.9612343,62096198.9612343,0.2
Beverly Hills Cop II (1987),1988-06-01,19,2,58999405.7809692,58999405.7809692,0.8
Return of the Jedi (1983),1988-06-01,19,3,58857041.0006439,58857041.0006439,0
Rambo: First Blood Part II (1985),1988-06-01,19,4,47699955.3313116,47699955.3313116,0.4
Rocky IV (1985),1988-06-01,19,5,46400083.5203288,46400083.5203288,0.5
Star Trek III: The Search for Spock (1984),1988-06-01,19,6,40862917.8173578,40862917.8173578,0.2
Superman II (1981),1988-06-01,19,7,39598007.9492155,39598007.9492155,0
Star Trek: The Motion Picture (1979),1988-06-01,19,8,39415813.32,39415813.32,0
Star Trek IV: The Voyage Home (1986),1988-06-01,19,9,38722906.7818051,38722906.7818051,0.7
Jaws 2 (1978),1988-06-01,19,10,38575846.3600615,38575846.3600615,0
Every Which Way But Loose (1978),1988-06-01,19,11,38448939.2564359,38448939.2564359,0
Star Trek II: The Wrath of Khan (1982),1988-06-01,19,12,37590902.2959588,37590902.2959588,0
Indiana Jones and the Temple of Doom (1984),1988-12-01,20,1,62096198.9612343,62096198.9612343,0.1
Beverly Hills Cop II (1987),1988-12-01,20,2,58999405.7809692,58999405.7809692,0.7
Return of the Jedi (1983),1988-12-01,20,3,58857041.0006439,58857041.0006439,0
Rambo: First Blood Part II (1985),1988-12-01,20,4,47699955.3313116,47699955.3313116,0.3
Rocky IV (1985),1988-12-01,20,5,46400083.5203288,46400083.5203288,0.4
Star Trek III: The Search for Spock (1984),1988-12-01,20,6,40862917.8173578,40862917.8173578,0.1
Superman II (1981),1988-12-01,20,7,39598007.9492155,39598007.9492155,0
Star Trek: The Motion Picture (1979),1988-12-01,20,8,39415813.32,39415813.32,0
Star Trek IV: The Voyage Home (1986),1988-12-01,20,9,38722906.7818051,38722906.7818051,0.6
Jaws 2 (1978),1988-12-01,20,10,38575846.3600615,38575846.3600615,0
Every Which Way But Loose (1978),1988-12-01,20,11,38448939.2564359,38448939.2564359,0
Star Trek II: The Wrath of Khan (1982),1988-12-01,20,12,37590902.2959588,37590902.2959588,0
Batman (1989),1989-06-01,21,1,82920128.6575987,0,1
Indiana Jones and the Temple of Doom (1984),1989-06-01,21,2,62096198.9612343,62096198.9612343,0
Ghostbusters II (1989),1989-06-01,21,3,60358396.9726994,0,1
Indiana Jones and the Last Crusade (1989),1989-06-01,21,4,60117001.4271394,0,1
Beverly Hills Cop II (1987),1989-06-01,21,5,58999405.7809692,58999405.7809692,0.6
Return of the Jedi (1983),1989-06-01,21,6,58857041.0006439,58857041.0006439,0
Rambo: First Blood Part II (1985),1989-06-01,21,7,47699955.3313116,47699955.3313116,0.2
Rocky IV (1985),1989-06-01,21,8,46400083.5203288,46400083.5203288,0.3
Star Trek III: The Search for Spock (1984),1989-06-01,21,9,40862917.8173578,40862917.8173578,0
Superman II (1981),1989-06-01,21,10,39598007.9492155,39598007.9492155,0
Star Trek: The Motion Picture (1979),1989-06-01,21,11,39415813.32,39415813.32,0
Star Trek IV: The Voyage Home (1986),1989-06-01,21,12,38722906.7818051,38722906.7818051,0.5
Batman (1989),1989-12-01,22,1,82920128.6575987,82920128.6575987,0.9
Indiana Jones and the Temple of Doom (1984),1989-12-01,22,2,62096198.9612343,62096198.9612343,0
Ghostbusters II (1989),1989-12-01,22,3,60358396.9726994,60358396.9726994,0.9
Indiana Jones and the Last Crusade (1989),1989-12-01,22,4,60117001.4271394,60117001.4271394,0.9
Beverly Hills Cop II (1987),1989-12-01,22,5,58999405.7809692,58999405.7809692,0.5
